ticker,company_name,source_md,rendered_md,source_wikilinks,rendered_wikilinks,missing_wikilinks,missing_source_sections,financial_preserved,competitor_count
1101,台泥,Pilot_Reports/Building Materials/1101_台泥.md,output/enrichment_all_rendered/1101_台泥.md,19,24,,,true,1
1102,亞泥,Pilot_Reports/Building Materials/1102_亞泥.md,output/enrichment_all_rendered/1102_亞泥.md,13,18,,,true,1
1103,嘉泥,Pilot_Reports/Building Materials/1103_嘉泥.md,output/enrichment_all_rendered/1103_嘉泥.md,11,14,,,true,1
1104,環泥,Pilot_Reports/Building Materials/1104_環泥.md,output/enrichment_all_rendered/1104_環泥.md,10,15,,,true,1
1108,幸福,Pilot_Reports/Building Materials/1108_幸福.md,output/enrichment_all_rendered/1108_幸福.md,8,13,,,true,1
1109,信大,Pilot_Reports/Building Materials/1109_信大.md,output/enrichment_all_rendered/1109_信大.md,8,13,,,true,1
1110,東泥,Pilot_Reports/Building Materials/1110_東泥.md,output/enrichment_all_rendered/1110_東泥.md,9,14,,,true,1
1240,茂生農經,Pilot_Reports/Farm Products/1240_茂生農經.md,output/enrichment_all_rendered/1240_茂生農經.md,5,7,,,true,1
1301,台塑,Pilot_Reports/Specialty Chemicals/1301_台塑.md,output/enrichment_all_rendered/1301_台塑.md,12,17,,,true,1
1303,南亞,Pilot_Reports/Specialty Chemicals/1303_南亞.md,output/enrichment_all_rendered/1303_南亞.md,25,30,,,true,1
1304,台聚,Pilot_Reports/Specialty Chemicals/1304_台聚.md,output/enrichment_all_rendered/1304_台聚.md,12,14,,,true,1
1305,華夏,Pilot_Reports/Specialty Chemicals/1305_華夏.md,output/enrichment_all_rendered/1305_華夏.md,12,16,,,true,1
1307,三芳,Pilot_Reports/Textile Manufacturing/1307_三芳.md,output/enrichment_all_rendered/1307_三芳.md,17,22,,,true,1
1308,亞聚,Pilot_Reports/Specialty Chemicals/1308_亞聚.md,output/enrichment_all_rendered/1308_亞聚.md,12,16,,,true,1
1309,台達化,Pilot_Reports/Specialty Chemicals/1309_台達化.md,output/enrichment_all_rendered/1309_台達化.md,9,13,,,true,1
1310,台苯,Pilot_Reports/Chemicals/1310_台苯.md,output/enrichment_all_rendered/1310_台苯.md,8,13,,,true,1
1312,國喬,Pilot_Reports/Chemicals/1312_國喬.md,output/enrichment_all_rendered/1312_國喬.md,10,15,,,true,1
1313,聯成,Pilot_Reports/Chemicals/1313_聯成.md,output/enrichment_all_rendered/1313_聯成.md,10,15,,,true,1
1314,中石化,Pilot_Reports/Specialty Chemicals/1314_中石化.md,output/enrichment_all_rendered/1314_中石化.md,14,19,,,true,1
1315,達新,Pilot_Reports/Apparel Manufacturing/1315_達新.md,output/enrichment_all_rendered/1315_達新.md,5,10,,,true,1
1316,上曜,Pilot_Reports/Real Estate Services/1316_上曜.md,output/enrichment_all_rendered/1316_上曜.md,3,8,,,true,1
1319,東陽,Pilot_Reports/Auto Parts/1319_東陽.md,output/enrichment_all_rendered/1319_東陽.md,16,21,,,true,1
1321,大洋,Pilot_Reports/Specialty Chemicals/1321_大洋.md,output/enrichment_all_rendered/1321_大洋.md,4,8,,,true,1
1323,永裕,Pilot_Reports/Packaging & Containers/1323_永裕.md,output/enrichment_all_rendered/1323_永裕.md,11,16,,,true,1
1324,地球,Pilot_Reports/Business Equipment & Supplies/1324_地球.md,output/enrichment_all_rendered/1324_地球.md,8,13,,,true,1
1325,恆大,Pilot_Reports/Textile Manufacturing/1325_恆大.md,output/enrichment_all_rendered/1325_恆大.md,11,16,,,true,1
1326,台化,Pilot_Reports/Chemicals/1326_台化.md,output/enrichment_all_rendered/1326_台化.md,12,17,,,true,1
1336,台翰,Pilot_Reports/Auto Parts/1336_台翰.md,output/enrichment_all_rendered/1336_台翰.md,6,11,,,true,1
1337,再生-KY,Pilot_Reports/Specialty Chemicals/1337_再生-KY.md,output/enrichment_all_rendered/1337_再生-KY.md,7,11,,,true,1
1338,廣華-KY,Pilot_Reports/Auto Parts/1338_廣華-KY.md,output/enrichment_all_rendered/1338_廣華-KY.md,12,17,,,true,1
1339,昭輝,Pilot_Reports/Auto Parts/1339_昭輝.md,output/enrichment_all_rendered/1339_昭輝.md,7,12,,,true,1
1340,勝悅-KY,Pilot_Reports/Footwear & Accessories/1340_勝悅-KY.md,output/enrichment_all_rendered/1340_勝悅-KY.md,10,15,,,true,1
1341,富林-KY,Pilot_Reports/Textile Manufacturing/1341_富林-KY.md,output/enrichment_all_rendered/1341_富林-KY.md,11,16,,,true,1
