status,ticker,company_name,source_path,target_path,mapping_source_level,chain_code,chain_name,position,subcategory,choice_count,note
moved,6136,富爾特,Pilot_Reports/6136_富爾特.md,Pilot_Reports/6136_富爾特.md,raw_member,I000,通信網路,下游,電信服務業,1,
moved,2208,台船,Pilot_Reports/2208_台船.md,Pilot_Reports/2208_台船.md,raw_member,AB20,風力發電,上游,風場營造,2,
moved,2630,亞航,Pilot_Reports/2630_亞航.md,Pilot_Reports/2630_亞航.md,raw_member,T000,交通運輸及航運,上游,貨櫃運輸集散及倉儲,1,
moved,2634,漢翔,Pilot_Reports/2634_漢翔.md,Pilot_Reports/2634_漢翔.md,raw_member,X000,其他,上游,其他,1,
moved,2644,中信造船,Pilot_Reports/2644_中信造船.md,Pilot_Reports/2644_中信造船.md,raw_member,X000,其他,上游,其他,1,
moved,2645,長榮航太,Pilot_Reports/2645_長榮航太.md,Pilot_Reports/2645_長榮航太.md,raw_member,T000,交通運輸及航運,上游,海陸空大眾運輸,1,
moved,4541,晟田,Pilot_Reports/4541_晟田.md,Pilot_Reports/4541_晟田.md,raw_member,X000,其他,上游,其他,1,
moved,4546,長亨,Pilot_Reports/4546_長亨.md,Pilot_Reports/4546_長亨.md,raw_member,P000,電機機械,下游,金屬加工處理,1,
moved,4572,駐龍,Pilot_Reports/4572_駐龍.md,Pilot_Reports/4572_駐龍.md,raw_member,P000,電機機械,下游,金屬加工處理,1,
moved,6753,龍德造船,Pilot_Reports/6753_龍德造船.md,Pilot_Reports/6753_龍德造船.md,raw_member,X000,其他,上游,其他,1,
moved,8222,寶一,Pilot_Reports/8222_寶一.md,Pilot_Reports/8222_寶一.md,raw_member,P000,電機機械,下游,金屬加工處理,1,
moved,1712,興農,Pilot_Reports/1712_興農.md,Pilot_Reports/1712_興農.md,raw_member,N000,石化及塑橡膠,下游,塑膠製品,2,
moved,1722,台肥,Pilot_Reports/1722_台肥.md,Pilot_Reports/1722_台肥.md,raw_member,X000,其他,上游,其他,1,
moved,6508,惠光,Pilot_Reports/6508_惠光.md,Pilot_Reports/6508_惠光.md,raw_member,N000,石化及塑橡膠,下游,塑膠製品,3,
moved,2610,華航,Pilot_Reports/2610_華航.md,Pilot_Reports/2610_華航.md,raw_member,T000,交通運輸及航運,上游,海陸空大眾運輸,1,
moved,2618,長榮航,Pilot_Reports/2618_長榮航.md,Pilot_Reports/2618_長榮航.md,raw_member,T000,交通運輸及航運,上游,海陸空大眾運輸,1,
moved,2646,星宇航空,Pilot_Reports/2646_星宇航空.md,Pilot_Reports/2646_星宇航空.md,map,T000,交通運輸及航運,上游,海陸空大眾運輸,1,
moved,6757,台灣虎航,Pilot_Reports/6757_台灣虎航.md,Pilot_Reports/6757_台灣虎航.md,map,T000,交通運輸及航運,上游,海陸空大眾運輸,1,
moved,4558,寶緯,Pilot_Reports/4558_寶緯.md,Pilot_Reports/4558_寶緯.md,raw_member,5800,運動科技,上游,裝置/器材零組件,2,
moved,6175,立敦,Pilot_Reports/6175_立敦.md,Pilot_Reports/6175_立敦.md,raw_member,J000,被動元件,上游,電容器材料(如電蝕/化成鋁箔、介面瓷粉),1,
moved,8942,森鉅,Pilot_Reports/8942_森鉅.md,Pilot_Reports/8942_森鉅.md,raw_member,S000,建材營造,下游,個人、民間企業、政府機構,2,
moved,1315,達新,Pilot_Reports/1315_達新.md,Pilot_Reports/1315_達新.md,raw_member,N000,石化及塑橡膠,下游,塑膠製品,3,
moved,1467,南緯,Pilot_Reports/1467_南緯.md,Pilot_Reports/1467_南緯.md,raw_member,O000,紡織,下游,染整,2,
moved,1473,台南,Pilot_Reports/1473_台南.md,Pilot_Reports/1473_台南.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,1476,儒鴻,Pilot_Reports/1476_儒鴻.md,Pilot_Reports/1476_儒鴻.md,raw_member,O000,紡織,中游,織布,2,
moved,1477,聚陽,Pilot_Reports/1477_聚陽.md,Pilot_Reports/1477_聚陽.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,2916,滿心,Pilot_Reports/2916_滿心.md,Pilot_Reports/2916_滿心.md,raw_member,V000,貿易百貨,上游,製造商,2,
moved,2924,宏太-KY,Pilot_Reports/2924_宏太-KY.md,Pilot_Reports/2924_宏太-KY.md,raw_member,V000,貿易百貨,上游,製造商,2,
moved,4413,飛寶企業,Pilot_Reports/4413_飛寶企業.md,Pilot_Reports/4413_飛寶企業.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,4414,如興,Pilot_Reports/4414_如興.md,Pilot_Reports/4414_如興.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,4432,銘旺實,Pilot_Reports/4432_銘旺實.md,Pilot_Reports/4432_銘旺實.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,4438,廣越,Pilot_Reports/4438_廣越.md,Pilot_Reports/4438_廣越.md,raw_member,C200,醫療器材,中游,醫療器材研發、設計、製造,2,
moved,8932,智通,Pilot_Reports/8932_智通.md,Pilot_Reports/8932_智通.md,raw_member,X000,其他,上游,其他,1,
moved,1417,嘉裕,Pilot_Reports/1417_嘉裕.md,Pilot_Reports/1417_嘉裕.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,6901,鑽石投資,Pilot_Reports/6901_鑽石投資.md,Pilot_Reports/6901_鑽石投資.md,raw_member,X000,其他,上游,其他,1,
moved,2207,和泰車,Pilot_Reports/2207_和泰車.md,Pilot_Reports/2207_和泰車.md,raw_member,A300,電動車輛產業,中游,零組件,3,
moved,2247,汎德永業,Pilot_Reports/2247_汎德永業.md,Pilot_Reports/2247_汎德永業.md,raw_member,3000,汽車,下游,銷售、進出口業務,1,
moved,1599,宏佳騰,Pilot_Reports/1599_宏佳騰.md,Pilot_Reports/1599_宏佳騰.md,raw_member,A300,電動車輛產業,下游,電動汽車、電動機車、電動自行車,2,
moved,2201,裕隆,Pilot_Reports/2201_裕隆.md,Pilot_Reports/2201_裕隆.md,raw_member,3000,汽車,中游,整車組裝、修理及技術服務,1,
moved,2204,中華,Pilot_Reports/2204_中華.md,Pilot_Reports/2204_中華.md,raw_member,3000,汽車,中游,整車組裝、修理及技術服務,2,
moved,2206,三陽工業,Pilot_Reports/2206_三陽工業.md,Pilot_Reports/2206_三陽工業.md,raw_member,3000,汽車,中游,整車組裝、修理及技術服務,2,
moved,2227,裕日車,Pilot_Reports/2227_裕日車.md,Pilot_Reports/2227_裕日車.md,raw_member,3000,汽車,中游,整車組裝、修理及技術服務,2,
moved,2237,華德動能,Pilot_Reports/2237_華德動能.md,Pilot_Reports/2237_華德動能.md,raw_member,A300,電動車輛產業,下游,電動汽車、電動機車、電動自行車,1,
moved,1319,東陽,Pilot_Reports/1319_東陽.md,Pilot_Reports/1319_東陽.md,raw_member,N000,石化及塑橡膠,下游,塑膠製品,4,
moved,1336,台翰,Pilot_Reports/1336_台翰.md,Pilot_Reports/1336_台翰.md,raw_member,I000,通信網路,上游,塑膠/金屬機殼,3,
moved,1338,廣華-KY,Pilot_Reports/1338_廣華-KY.md,Pilot_Reports/1338_廣華-KY.md,raw_member,3000,汽車,上游,其他,1,
moved,1339,昭輝,Pilot_Reports/1339_昭輝.md,Pilot_Reports/1339_昭輝.md,raw_member,N000,石化及塑橡膠,下游,塑膠製品,2,
moved,1506,正道,Pilot_Reports/1506_正道.md,Pilot_Reports/1506_正道.md,raw_member,P000,電機機械,下游,車用機械傳動設備及零配件,4,
moved,1512,瑞利,Pilot_Reports/1512_瑞利.md,Pilot_Reports/1512_瑞利.md,raw_member,P000,電機機械,下游,車用機械傳動設備及零配件,2,
moved,1521,大億,Pilot_Reports/1521_大億.md,Pilot_Reports/1521_大億.md,raw_member,3000,汽車,上游,車燈,1,
moved,1522,堤維西,Pilot_Reports/1522_堤維西.md,Pilot_Reports/1522_堤維西.md,raw_member,3000,汽車,上游,車燈,1,
moved,1524,耿鼎,Pilot_Reports/1524_耿鼎.md,Pilot_Reports/1524_耿鼎.md,raw_member,3000,汽車,上游,鈑金,1,
moved,1525,江申,Pilot_Reports/1525_江申.md,Pilot_Reports/1525_江申.md,raw_member,3000,汽車,上游,其他,1,
moved,1533,車王電,Pilot_Reports/1533_車王電.md,Pilot_Reports/1533_車王電.md,raw_member,A300,電動車輛產業,中游,零組件,5,
moved,1536,和大,Pilot_Reports/1536_和大.md,Pilot_Reports/1536_和大.md,raw_member,A300,電動車輛產業,中游,零組件,3,
moved,1563,巧新,Pilot_Reports/1563_巧新.md,Pilot_Reports/1563_巧新.md,raw_member,P000,電機機械,下游,車用機械傳動設備及零配件,2,
moved,1568,倉佑,Pilot_Reports/1568_倉佑.md,Pilot_Reports/1568_倉佑.md,raw_member,P000,電機機械,下游,車用機械傳動設備及零配件,2,
moved,1587,吉茂,Pilot_Reports/1587_吉茂.md,Pilot_Reports/1587_吉茂.md,raw_member,3000,汽車,上游,其他,1,
moved,2101,南港,Pilot_Reports/2101_南港.md,Pilot_Reports/2101_南港.md,raw_member,3000,汽車,上游,輪胎,1,
moved,2102,泰豐,Pilot_Reports/2102_泰豐.md,Pilot_Reports/2102_泰豐.md,raw_member,N000,石化及塑橡膠,下游,橡膠製品,3,
moved,2105,正新,Pilot_Reports/2105_正新.md,Pilot_Reports/2105_正新.md,raw_member,N000,石化及塑橡膠,下游,橡膠製品,1,
moved,2106,建大,Pilot_Reports/2106_建大.md,Pilot_Reports/2106_建大.md,raw_member,A300,電動車輛產業,中游,零組件,5,
moved,2109,華豐,Pilot_Reports/2109_華豐.md,Pilot_Reports/2109_華豐.md,raw_member,N000,石化及塑橡膠,下游,橡膠製品,1,
moved,2114,鑫永銓,Pilot_Reports/2114_鑫永銓.md,Pilot_Reports/2114_鑫永銓.md,raw_member,N000,石化及塑橡膠,下游,橡膠製品,1,
moved,2115,六暉-KY,Pilot_Reports/2115_六暉-KY.md,Pilot_Reports/2115_六暉-KY.md,raw_member,N000,石化及塑橡膠,下游,橡膠製品,1,
moved,2228,劍麟,Pilot_Reports/2228_劍麟.md,Pilot_Reports/2228_劍麟.md,raw_member,3000,汽車,上游,其他,1,
moved,2230,泰茂,Pilot_Reports/2230_泰茂.md,Pilot_Reports/2230_泰茂.md,raw_member,P000,電機機械,下游,車用機械傳動設備及零配件,2,
moved,2231,為升,Pilot_Reports/2231_為升.md,Pilot_Reports/2231_為升.md,raw_member,3000,汽車,中游,整車組裝、修理及技術服務,1,
moved,2235,謚源,Pilot_Reports/2235_謚源.md,Pilot_Reports/2235_謚源.md,raw_member,P000,電機機械,下游,車用機械傳動設備及零配件,2,
moved,2239,英利-KY,Pilot_Reports/2239_英利-KY.md,Pilot_Reports/2239_英利-KY.md,raw_member,3000,汽車,上游,保險桿,2,
moved,2241,艾姆勒,Pilot_Reports/2241_艾姆勒.md,Pilot_Reports/2241_艾姆勒.md,raw_member,3000,汽車,上游,車燈,9,
moved,2245,詠勝昌,Pilot_Reports/2245_詠勝昌.md,Pilot_Reports/2245_詠勝昌.md,raw_member,3000,汽車,上游,其他,1,
moved,2248,華勝-KY,Pilot_Reports/2248_華勝-KY.md,Pilot_Reports/2248_華勝-KY.md,raw_member,P000,電機機械,上游,傳動元件,8,
moved,2249,湧盛,Pilot_Reports/2249_湧盛.md,Pilot_Reports/2249_湧盛.md,raw_member,3000,汽車,上游,其他,1,
moved,2252,為昇科,Pilot_Reports/2252_為昇科.md,Pilot_Reports/2252_為昇科.md,raw_member,3000,汽車,上游,其他,2,
moved,2254,巨鎧精密-創,Pilot_Reports/2254_巨鎧精密-創.md,Pilot_Reports/2254_巨鎧精密-創.md,raw_member,P000,電機機械,下游,車用機械傳動設備及零配件,2,
moved,2255,凱銳光電,Pilot_Reports/2255_凱銳光電.md,Pilot_Reports/2255_凱銳光電.md,raw_member,3000,汽車,上游,其他,1,
moved,2256,歐特明,Pilot_Reports/2256_歐特明.md,Pilot_Reports/2256_歐特明.md,raw_member,3000,汽車,上游,其他,2,
moved,2497,怡利電,Pilot_Reports/2497_怡利電.md,Pilot_Reports/2497_怡利電.md,raw_member,3000,汽車,上游,其他,2,
moved,3162,精確,Pilot_Reports/3162_精確.md,Pilot_Reports/3162_精確.md,raw_member,C200,醫療器材,上游,電子零組件、塑化材料、五金零件,5,
moved,3346,麗清,Pilot_Reports/3346_麗清.md,Pilot_Reports/3346_麗清.md,raw_member,A200,LED照明產業,下游,封裝/模組,2,
