ticker,company_name,theme_id,theme_tag,role,source_path,matched_text,confidence,status
1101,台泥,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1101,台泥,theme.ev,電動車,downstream,supply_chain.downstream[3],電動車,high,needs_review
1303,南亞,theme.abf_substrate,ABF 載板,related,business.summary,ABF 載板,high,needs_review
1303,南亞,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
1303,南亞,theme.abf_substrate,ABF 載板,downstream,supply_chain.downstream[2],ABF 載板,high,needs_review
1303,南亞,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,supply_chain.downstream[2],NVIDIA,medium,needs_review
1303,南亞,theme.abf_substrate,ABF 載板,downstream,relationships.customers[1],ABF 載板,high,needs_review
1303,南亞,theme.nvidia_supply_chain,NVIDIA 供應鏈,downstream,relationships.customers[1],NVIDIA,medium,needs_review
1312,國喬,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1319,東陽,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1319,東陽,theme.tesla_supply_chain,Tesla 供應鏈,downstream,supply_chain.downstream[4],Tesla,medium,needs_review
1319,東陽,theme.tesla_supply_chain,Tesla 供應鏈,downstream,relationships.customers[3],Tesla,medium,needs_review
1326,台化,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[1],蘋果,medium,needs_review
1339,昭輝,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1409,新纖,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1409,新纖,theme.ev,電動車,downstream,supply_chain.downstream[3],電動車,high,needs_review
1409,新纖,theme.ev,電動車,downstream,relationships.customers[2],電動車,high,needs_review
1444,力麗,theme.apple_supply_chain,Apple 供應鏈,downstream,supply_chain.downstream[1],Apple,medium,needs_review
1444,力麗,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],Apple,medium,needs_review
1449,佳和,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1449,佳和,theme.ev,電動車,related,supply_chain.other[5],電動車,high,needs_review
1449,佳和,theme.tesla_supply_chain,Tesla 供應鏈,downstream,relationships.customers[1],Tesla,medium,needs_review
1449,佳和,theme.ev,電動車,downstream,relationships.customers[1],電動車,high,needs_review
1503,士電,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1504,東元,theme.data_center,資料中心,related,business.summary,資料中心,high,needs_review
1504,東元,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1504,東元,theme.data_center,資料中心,downstream,supply_chain.downstream[3],資料中心,high,needs_review
1504,東元,theme.data_center,資料中心,downstream,relationships.customers[2],資料中心,high,needs_review
1506,正道,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1514,亞力,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
1514,亞力,theme.data_center,資料中心,related,business.summary,資料中心,high,needs_review
1516,川飛,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1516,川飛,theme.ev,電動車,downstream,relationships.customers[2],電動車,high,needs_review
1519,華城,theme.ai_server,AI 伺服器,related,business.summary,AI 伺服器,high,needs_review
1519,華城,theme.data_center,資料中心,related,business.summary,資料中心,high,needs_review
1519,華城,theme.data_center,資料中心,downstream,supply_chain.downstream[3],資料中心,high,needs_review
1522,堤維西,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1533,車王電,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1536,和大,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1536,和大,theme.tesla_supply_chain,Tesla 供應鏈,downstream,supply_chain.downstream[2],Tesla,medium,needs_review
1536,和大,theme.tesla_supply_chain,Tesla 供應鏈,downstream,supply_chain.downstream[3],Tesla,medium,needs_review
1536,和大,theme.tesla_supply_chain,Tesla 供應鏈,downstream,relationships.customers[1],Tesla,medium,needs_review
1560,中砂,theme.silicon_wafer,矽晶圓,related,business.summary,矽晶圓,high,needs_review
1560,中砂,theme.silicon_wafer,矽晶圓,upstream,supply_chain.upstream[2],矽晶圓,high,needs_review
1560,中砂,theme.sic,碳化矽,upstream,supply_chain.upstream[3],碳化矽,high,needs_review
1560,中砂,theme.silicon_wafer,矽晶圓,upstream,relationships.suppliers[1],矽晶圓,high,needs_review
1563,巧新,theme.ev,電動車,related,business.summary,電動車,high,needs_review
1563,巧新,theme.tesla_supply_chain,Tesla 供應鏈,downstream,supply_chain.downstream[3],Tesla,medium,needs_review
1563,巧新,theme.tesla_supply_chain,Tesla 供應鏈,downstream,relationships.customers[2],Tesla,medium,needs_review
1569,濱川,theme.apple_supply_chain,Apple 供應鏈,downstream,supply_chain.downstream[1],Apple,medium,needs_review
1569,濱川,theme.apple_supply_chain,Apple 供應鏈,downstream,relationships.customers[0],Apple,medium,needs_review
1582,信錦,theme.leo_satellite,低軌衛星,related,business.summary,低軌衛星,high,needs_review
1586,和勤,theme.ev,電動車,related,business.summary,電動車,high,needs_review
